Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Laurentia_plon,Laurentia_plat,Duluth_plat,,
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,new ,Group C +D,C+,0,50.6,28.6,11,1000,34.9,-10.6,10.6,1000,0.1,26.5,169.1,3.9,3.9,3.9,mixed,4,1,1,1,1,1,1,1,1,1,1,7,A,1755,1740,1770,"1740-1770, ",Volyn-Dniestr-Bug intrusions,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",2010,Precambrian Res.,178,119-135,"Proterozoic Basic dykes in the Ukrainian Shield: A palaeomagnetic, geochronologic and geochemical study â€” The accretion of the Ukrainian Shield to Fennoscandia",,,,,
Baltica-Fennoscandia,Shoksha Sandstones,8681,,"G*,Rc",100,61.3,33.8,36,61,354.3,21.6,21.6,22.3,5.2,39.7,221.1,2.9,5.5,4.0,42,4,1,1,1,1,1,1,1,1,1,1,7,B,1775,1750,1800,"pre-1770±12, pre-1770±12, base of formation",Shoksha Sandstones,"Pisarevsky, S.A., Sokolov, S.J.",2001,Geophys.J.Int.,146,531-538,"The magnetostratigraphyand a 1780 Ma palaeomagnetic pole from the red sandstones of the Vazhinka River section, Karelia, Russia",,,,,
Baltica-Fennoscandia,Småland intrusives -C,100369,,C*+,0,57.1,15.7,11,58,9.3,25.1,25.1,30,8.5,45.7,182.7,8,8,8,10,4,1,1,1,1,1,1,1,1,1,1,7,A,1777,1769,1784,"1776.5, 1780 ± 3, 1776 +8/-7",Småland intrusives -C,"Pisarevsky, S., Bylund, G.",2010,Am. J. Sci.,310,1168-1186,Paleomagnetism of 1780-1770 Ma mafic and composite intrusions of Småland (Sweden): Implications for the mesoproterozoic supercontinent,,,,,
Baltica-Fennoscandia,Hoting gabbro,,,C*+,0,64.2,16.2,5,47,331.9,37.5,37.5,41.0,12.1,43.0,233.3,10.9,10.9,10.9,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,1786,1776,1796,"U-Pb: 1786+-10, Ar-Ar bt:1648+-12, U-Pb: 1786+-10, Ar-Ar bt:1648+-12",Hoting gabbro,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F.",2009,Geoph. J. Int.,179,59-78,Uplift deduced…,,,,,
Baltica-Fennoscandia,Kallax gabbro,new,,,0,65.5,22.0,5,29,355,42,42.0,226,4.2,49.0,209.0,3.0,5.0,,0or100,TH+AF,1,1,1,1,1,1,0,1,0,1,5,B,1800,1794,1805,"1796±2 (U-Pb, zr), 1802±3 (U-Pb, zr); Öhlander and Sjöberg, 1991",,Elming 1994,,,,,,,,,,
Baltica-Fennoscandia,"Lake Ladoga, Mean intr. & dykes, A",new,,,0,61.3,30.0,6,42,347.0,40.6,40.6,146.2,7.6,50.9,229.1,5.6,9.2,,MIXED,4,1,1,1,1,1,1,0,1,1,1,6,B,1800,1744,1819,"1802±17 (U-Pb, zr); 1800±6  (U-Pb, zr); 1777±33 (U-Pb; rim of zircons for lamph)",,"Mertanen, S., Eklund, O., Shebanov, A., Frank-Kamenetsky, D.",2006,"IDC-5, Taylor & Francis",Int. Conf. 5,63-74,"Paleo- and Mesoproterozoic dyke swarms at Lake Ladoga area, NW Russia - paleomagnetic studies ",,,,,
Baltica-Fennoscandia,Notträsk gabbro,new,,,0,65.83,21.83,6,25,348.9,35.9,35.9,148,5.5,43.5,216.2,6.1,6.1,6.1,0,TH+AF,1,1,1,1,1,1,0,1,0,1,5,B,1806,1800,1812,"1806±6 (U-Pb, zr); Sadeghi and Hellström, 2017",,"Elming, 1985",,,,,,,,,,
Baltica - Fennoscandia,Keuruu dykes ,11260,,"C+, R-",0,62.3,24.7,21,69,340.4,35.2,35.2,31.3,5.8,45.7,230.9,3.9,6.7,5.5,mixed,AF+TH,1,1,1,1,1,1,1,1,1,1,7, B ,1869,1859,1879,"1867 ± 8, 1870 ± 9 (Pb-Pb, U-Pb) Klein et al., 2016 Problems with dating: inherited zircons and too large zircons to be magmatic (Huhma pers comm)",Keuruu dykes,"Klein, R., Pesonen, L.J., Mänttäri, I., Heinonen, J.S.",2016,Precambrian Res.,286,379-397,"A late Paleoproterozoic key pole for the Fennoscandian Shield: A paleomagnetic study of the Keuruu diabase dykes, Central Finland",,,,,
Baltica-Fennoscandia,Kiuruvesi-Pielavesi gabbro,new,,,0,63.2,26.8,3,35,341.0,30.0,30.0,610.0,5.0,41.1,231.3,5.4,5.4,5.4,0,AF,1,1,1,1,1,1,0,1,0,1,5,B,1886,1881,1892,U-Pb age of 1886+/-5 Ma; Marttila (1981),,"Neuvonen,K.J., Korsman,K., Kouvo,O., Paavola,J.",1981,Bull.Geol.Soc.Finland,53,109-133,Paleomagnetism and age relations of the rocks in the main sulphide ore belt in central Finland,,,,,
Baltica-Fennoscandia,Tsuomasavarri Gabbro-Diorite Intrusion,7528,A' Component,,0,69.9,28.3,8,28,328.2,41.4,41.4,79.0,6.3,40.2,247.3,4.7,7.7,6.0,0,4,1,1,1,1,1,1,0,0,0,1,4,B,1931,1929,1933,"1931±2, 1931±2, GPMDB4.6",Tsuomasavarri Gabbro-Diorite Intrusion,"Mertanen,S., Pesonen,L.J.",1994,Precambrian Res.,69,25-50,"Preliminary results of a paleomagnetic and rock magnetic study of the Proterozoic Tsuomasavarri intrusions, northern Fennoscandia",,,,,
